Well ID,X,Y,ds,dh
2,171859,2631894,0,0.62
2,171859,2631894,-0.2,-1.14
2,171859,2631894,-0.1,0.35
2,171859,2631894,-0.7,-0.63
2,171859,2631894,-0.4,-2.12
2,171859,2631894,1.3,4.08
2,171859,2631894,-0.8,-1.59
2,171859,2631894,0.7,3.09
2,171859,2631894,0,-0.13
2,171859,2631894,0.3,0.18
2,171859,2631894,-0.8,-1.55
2,171859,2631894,0.2,0.08
2,171859,2631894,0.2,1.92
2,171859,2631894,-0.3,-1.42
2,171859,2631894,0.2,1.78
2,171859,2631894,0.5,0.34
2,171859,2631894,-0.5,-1.36
2,171859,2631894,0.2,0.44
2,171859,2631894,-0.4,-1.21
2,171859,2631894,-0.5,-1.19
2,171859,2631894,1,3.51
2,171859,2631894,0,-0.27
2,171859,2631894,-0.7,-1.99
2,171859,2631894,0.1,0.1
2,171859,2631894,0.1,0.84
2,171859,2631894,-0.8,-2.14
2,171859,2631894,0.1,0.24
2,171859,2631894,-0.5,-1.61
2,171859,2631894,-0.2,-0.12
2,171859,2631894,1.4,4.3
2,171859,2631894,-1.4,-2.36
2,171859,2631894,0.9,2.19
2,171859,2631894,-0.9,-2.29
2,171859,2631894,-0.6,-1.54
2,171859,2631894,0.2,0.31
2,171859,2631894,0.2,1.43
2,171859,2631894,0.1,-0.07
2,171859,2631894,-1.1,-3.58
2,171859,2631894,0.4,3.4
2,171859,2631894,-0.4,-1.69
2,171859,2631894,-0.2,0.16
2,171859,2631894,-0.7,-1.27
2,171859,2631894,1,2.64
2,171859,2631894,-0.3,-0.42
2,171859,2631894,0.9,2.98
2,171859,2631894,-0.6,-2.46
2,171859,2631894,-0.1,0.5
2,171859,2631894,0.1,0.42
3,179785,2632016,-0.1,0.28
3,179785,2632016,-0.1,-0.41
3,179785,2632016,-1.4,-3.17
3,179785,2632016,-0.7,-0.9
3,179785,2632016,-0.3,-0.69
3,179785,2632016,0.9,4.11
3,179785,2632016,-0.7,-2.03
3,179785,2632016,0.7,3.19
3,179785,2632016,0.4,0.19
3,179785,2632016,0.2,0.69
3,179785,2632016,-0.4,-1.63
3,179785,2632016,0,1.64
3,179785,2632016,0.2,0.55
3,179785,2632016,-0.4,-1.96
3,179785,2632016,-0.1,0.39
3,179785,2632016,0.2,0.59
3,179785,2632016,-0.7,-2.26
3,179785,2632016,0.2,1.41
3,179785,2632016,0,0.09
3,179785,2632016,-0.4,-0.74
3,179785,2632016,0.3,1.28
3,179785,2632016,0.2,1.03
3,179785,2632016,-0.4,-1.58
3,179785,2632016,0.1,0.99
3,179785,2632016,0,-0.13
3,179785,2632016,-1.1,-2.73
3,179785,2632016,-0.8,-1.39
3,179785,2632016,-0.1,-0.02
3,179785,2632016,-0.4,-0.36
3,179785,2632016,0.7,2.23
3,179785,2632016,0.4,0.9
3,179785,2632016,0,0.74
3,179785,2632016,-0.7,-1.47
3,179785,2632016,-0.4,-0.07
3,179785,2632016,0,0.95
3,179785,2632016,-0.1,0.34
3,179785,2632016,0.1,0.86
3,179785,2632016,0.2,-0.26
3,179785,2632016,-1.5,-3.33
3,179785,2632016,-0.5,-1.67
3,179785,2632016,-0.5,0.03
3,179785,2632016,-0.3,1.01
3,179785,2632016,0.5,1.47
3,179785,2632016,0.2,0.19
3,179785,2632016,0.5,1.88
3,179785,2632016,-0.5,-2.39
3,179785,2632016,-0.3,0.87
3,179785,2632016,0.3,1.19
1,190429,2629865,0.1,0.68
1,190429,2629865,-0.4,-1.22
1,190429,2629865,-0.5,-1.14
1,190429,2629865,-0.5,-1.05
1,190429,2629865,0,-0.23
1,190429,2629865,0.2,2.16
1,190429,2629865,0,-1.17
