Time,X,Y,s,h
201501,171150,2629140,0.1,1.69
201502,171150,2629140,-0.2,0.92
201503,171150,2629140,-0.1,1.08
201504,171150,2629140,-0.3,-0.27
201505,171150,2629140,-0.8,-1.91
201506,171150,2629140,0.2,2.63
201507,171150,2629140,0,1.27
201508,171150,2629140,0.8,4.75
201509,171150,2629140,0.7,4.2
201510,171150,2629140,0.7,5.42
201511,171150,2629140,0,2.64
201512,171150,2629140,0,2.51
201601,171150,2629140,0.4,5.86
201602,171150,2629140,0.4,4.87
201603,171150,2629140,0.6,6.22
201604,171150,2629140,0.9,7.04
201605,171150,2629140,0.3,4.41
201606,171150,2629140,0.3,5.63
201607,171150,2629140,0.3,5.33
201608,171150,2629140,-0.1,3.41
201609,171150,2629140,0.9,7.5
201610,171150,2629140,0.7,7.02
201611,171150,2629140,0,4.36
201612,171150,2629140,0.2,5.25
201701,171150,2629140,0.3,5.9
201702,171150,2629140,-0.5,2.82
201703,171150,2629140,-0.3,3.33
201704,171150,2629140,-0.9,1.9
201705,171150,2629140,-1,1.06
201706,171150,2629140,0.8,7.69
201707,171150,2629140,0.7,3.18
201708,171150,2629140,0,6.29
201709,171150,2629140,-1.1,2.85
201710,171150,2629140,-1.6,1.19
201711,171150,2629140,-1.4,1.98
201712,171150,2629140,-0.8,4.3
201801,171150,2629140,-0.9,5.09
201802,171150,2629140,-2.3,-0.86
201803,171150,2629140,-1.2,2.9
201804,171150,2629140,-1.9,0.7
201805,171150,2629140,-1.9,1.29
201806,171150,2629140,-2.3,0.14
201807,171150,2629140,-1.3,3.55
201808,171150,2629140,-1.8,2.71
201809,171150,2629140,-1.1,5.64
201810,171150,2629140,-1.6,3.29
201811,171150,2629140,-1.6,3.61
201812,171150,2629140,-1.4,4.56
201901,171150,2629140,-1.3,4.83
201902,171150,2629140,-1.3,4.93
201903,171150,2629140,-1.3,4.24
201904,171150,2629140,-1.8,2.83
201905,171150,2629140,-1.3,4.48
201906,171150,2629140,-0.7,6.71
201907,171150,2629140,-0.7,6.32
201908,171150,2629140,-1,5.07
201909,171150,2629140,-0.7,6.19
201910,171150,2629140,-1.7,2.45
201911,171150,2629140,-1.9,1.78
201912,171150,2629140,-1.5,3.92
202001,171150,2629140,-1.4,5.7
202002,171150,2629140,-1.3,4.99
202003,171150,2629140,-1.7,3.42
202004,171150,2629140,-2.1,1.53
202005,171150,2629140,-3.1,-1.05
202006,171150,2629140,-1.5,3.95
202007,171150,2629140,-2.2,1.52
202008,171150,2629140,-2.3,1.46
202009,171150,2629140,-2.1,2.47
202010,171150,2629140,-2.9,0.22
202011,171150,2629140,-2.6,1.2
202012,171150,2629140,-2.4,1.6
