Time,X,Y,h,s
201501,178861,2608238,2.28,0.4
201502,178861,2608238,-0.35,-0.9
201503,178861,2608238,-3.14,-2.3
201504,178861,2608238,-4.6,-3.1
201505,178861,2608238,-6.09,-3.8
201506,178861,2608238,-5.18,-3.6
201507,178861,2608238,-4.82,-3.6
201508,178861,2608238,-2.08,-2.9
201509,178861,2608238,0.52,-1.7
201510,178861,2608238,0.97,-1.9
201511,178861,2608238,1.63,-1.9
201512,178861,2608238,1.85,-1.7
201601,178861,2608238,3.34,-1.4
201602,178861,2608238,3.12,-2.3
201603,178861,2608238,1.11,-3.2
201604,178861,2608238,1.39,-2.8
201605,178861,2608238,-0.6,-3.9
201606,178861,2608238,-1.98,-3.9
201607,178861,2608238,-0.66,-3.4
201608,178861,2608238,0.26,-3.2
201609,178861,2608238,1.54,-2.8
201610,178861,2608238,2.88,-2.3
201611,178861,2608238,3.66,-2.3
201612,178861,2608238,4.66,-1.9
201701,178861,2608238,5.15,-1.9
201702,178861,2608238,1.42,-3.9
201703,178861,2608238,-2.16,-5.1
201704,178861,2608238,-3.75,-6.3
201705,178861,2608238,-4.75,-6.6
201706,178861,2608238,-4.34,-6.1
201707,178861,2608238,-1.72,-5.6
201708,178861,2608238,-0.88,-5.3
201709,178861,2608238,1.04,-4.8
201710,178861,2608238,0.45,-5.6
201711,178861,2608238,0.44,-5.5
201712,178861,2608238,1.58,-4.9
201801,178861,2608238,2.33,-4.8
201802,178861,2608238,1.72,-5.5
201803,178861,2608238,-2.04,-6.6
201804,178861,2608238,-5,-8.1
201805,178861,2608238,-6.63,-9.2
201806,178861,2608238,-7.75,-9.7
201807,178861,2608238,-5.1,-8.8
201808,178861,2608238,-2.46,-8.3
201809,178861,2608238,-0.38,-7.5
201810,178861,2608238,-1,-8.2
201811,178861,2608238,-0.41,-8
201812,178861,2608238,0.23,-7.7
201901,178861,2608238,1.31,-7.5
201902,178861,2608238,-2.15,-9.4
201903,178861,2608238,-3.77,-9.7
201904,178861,2608238,-4.54,-10.4
201905,178861,2608238,-4.71,-10.3
201906,178861,2608238,-3.09,-9.8
201907,178861,2608238,-1.1,-8.9
201908,178861,2608238,2.14,-7.8
201909,178861,2608238,3.62,-7.1
201910,178861,2608238,3.41,-7.6
201911,178861,2608238,2.34,-8.1
201912,178861,2608238,2.03,-8.2
202001,178861,2608238,3.64,-7.7
202002,178861,2608238,2.15,-8.6
202003,178861,2608238,-0.86,-9.6
202004,178861,2608238,-2.29,-10.2
202005,178861,2608238,-4.69,-11.5
202006,178861,2608238,-4.68,-11.1
202007,178861,2608238,-2.73,-10.6
202008,178861,2608238,-1.48,-10.4
202009,178861,2608238,-0.16,-10
202010,178861,2608238,-0.02,-10.2
202011,178861,2608238,-1.69,-10.8
202012,178861,2608238,-0.88,-10.4
