Time,X,Y,Original,Trend,Seasonal,Residual
201501,194875,2616146,0.3,-1.183981196,1.504160107,-0.020178911
201502,194875,2616146,-1.5,-1.20002172,-0.315506637,0.015528358
201503,194875,2616146,-1.8,-1.216093283,-0.599457457,0.015550739
201504,194875,2616146,-2.6,-1.232137338,-1.366800611,-0.001062051
201505,194875,2616146,-3.3,-1.248236804,-2.031528512,-0.020234683
201506,194875,2616146,-1.8,-1.264650491,-0.552587649,0.01723814
201507,194875,2616146,-0.9,-1.282125268,0.397669299,-0.015544031
201508,194875,2616146,-1.4,-1.295843619,-0.141224714,0.037068332
201509,194875,2616146,-0.9,-1.301422639,0.459566474,-0.058143835
201510,194875,2616146,-0.5,-1.30132658,0.814287788,-0.012961209
201511,194875,2616146,-0.8,-1.294644013,0.568352045,-0.073708032
201512,194875,2616146,0.1,-1.276469719,1.423458567,-0.046988848
201601,194875,2616146,0.3,-1.241753871,1.480519292,0.061234579
201602,194875,2616146,-1.2,-1.217035159,-0.664298163,0.681333322
201603,194875,2616146,-1.2,-1.194613431,-0.861095472,0.855708903
201604,194875,2616146,-1,-1.166062401,-1.178762261,1.344824662
201605,194875,2616146,-1.8,-1.136635407,-1.797681401,1.134316807
201606,194875,2616146,-1.6,-1.120490495,-0.488499345,0.00898984
201607,194875,2616146,-0.7,-1.098891628,0.410511122,-0.011619494
201608,194875,2616146,-1.2,-1.080098029,-0.068676351,-0.05122562
201609,194875,2616146,-0.3,-1.076199798,0.620875553,0.155324245
201610,194875,2616146,-0.3,-1.099229787,0.773957569,0.025272218
201611,194875,2616146,-0.4,-1.145543087,0.562806234,0.182736853
201612,194875,2616146,0.2,-1.198542022,1.354347339,0.044194683
201701,194875,2616146,-0.9,-1.261413902,1.442426736,-1.081012834
201702,194875,2616146,-2.4,-1.339499589,-1.016164592,-0.044335819
201703,194875,2616146,-2.6,-1.424346367,-1.130121905,-0.045531728
201704,194875,2616146,-2.5,-1.510263338,-1.005792948,0.016056286
201705,194875,2616146,-3.1,-1.585952069,-1.582731462,0.068683531
201706,194875,2616146,-2.2,-1.662820723,-0.434868333,-0.102310944
201707,194875,2616146,-1.3,-1.764312567,0.385076395,0.079236172
201708,194875,2616146,-1.5,-1.859459192,-0.031742994,0.391202187
201709,194875,2616146,-1.7,-1.947853066,0.745077124,-0.497224059
201710,194875,2616146,-1.9,-2.03526982,0.675805026,-0.540535207
201711,194875,2616146,-1.7,-2.130113361,0.500956213,-0.070842852
201712,194875,2616146,-1,-2.250678112,1.215930892,0.03474722
201801,194875,2616146,-0.9,-2.393110088,1.274249751,0.218860337
201802,194875,2616146,-1.5,-2.541301179,-0.687312053,1.728613232
201803,194875,2616146,-2.6,-2.68768383,-1.033219825,1.120903655
201804,194875,2616146,-3.8,-2.825580198,-0.934389298,-0.040030504
201805,194875,2616146,-4.5,-2.968233888,-1.479593851,-0.052172261
201806,194875,2616146,-4,-3.087774823,-0.424606337,-0.487618839
201807,194875,2616146,-3,-3.153360138,0.334321623,-0.180961485
201808,194875,2616146,-3.3,-3.199302226,-0.014043107,-0.086654667
201809,194875,2616146,-2.5,-3.23103526,0.826620893,-0.095585633
201810,194875,2616146,-2.7,-3.23147936,0.452224509,0.079254851
201811,194875,2616146,-2.8,-3.199251009,0.399546909,-0.0002959
201812,194875,2616146,-2.3,-3.138710668,1.103548876,-0.264838208
201901,194875,2616146,-2,-3.020821684,1.056062175,-0.03524049
201902,194875,2616146,-4.3,-2.910900495,-0.340635975,-1.04846353
201903,194875,2616146,-4.6,-2.820586014,-0.914846215,-0.864567771
201904,194875,2616146,-4.6,-2.725652387,-0.872919666,-1.001427947
201905,194875,2616146,-4,-2.614304476,-1.474076629,0.088381104
201906,194875,2616146,-2.8,-2.5093037,-0.401307765,0.110611465
201907,194875,2616146,-2.2,-2.51121438,0.315172428,-0.003958049
201908,194875,2616146,-2.4,-2.589036244,-0.00788245,0.196918694
201909,194875,2616146,-1.7,-2.680348731,0.904589222,0.075759509
201910,194875,2616146,-2.1,-2.7750437,0.16827252,0.506771181
201911,194875,2616146,-2.6,-2.878740863,0.328211971,-0.049471108
201912,194875,2616146,-2,-2.9916105,1.036886429,-0.045275929
202001,194875,2616146,-2.3,-3.108758722,0.818869802,-0.01011108
202002,194875,2616146,-3.2,-3.21680476,0.014377956,0.002426804
202003,194875,2616146,-4.1,-3.313097851,-0.789959502,0.003057353
202004,194875,2616146,-4.2,-3.404758883,-0.805573853,0.010332735
202005,194875,2616146,-5,-3.493257185,-1.465543143,-0.041199672
202006,194875,2616146,-4,-3.577336158,-0.368953138,-0.053710705
202007,194875,2616146,-3.3,-3.644176901,0.305974339,0.038202561
202008,194875,2616146,-3.8,-3.706837711,-0.006343376,-0.086818913
202009,194875,2616146,-2.8,-3.768995753,0.997277151,-0.028281398
202010,194875,2616146,-4,-3.830320528,-0.129213799,-0.040465673
202011,194875,2616146,-3.6,-3.890392803,0.262971101,0.027421703
202012,194875,2616146,-2.9,-3.948839812,0.981651333,0.067188479
