Time,X,Y,Original,Trend,Seasonal,Residual
201501,182075,2613831,2.81,-2.21451669,4.872544301,0.151972389
201502,182075,2613831,-2.82,-1.955560984,-0.565996787,-0.298442229
201503,182075,2613831,-5.07,-1.698073767,-3.372365455,0.000439222
201504,182075,2613831,-6.85,-1.441680435,-5.521733763,0.113414198
201505,182075,2613831,-6.97,-1.184984361,-5.851988781,0.066973141
201506,182075,2613831,-2.37,-0.925616582,-1.741795152,0.297411735
201507,182075,2613831,-1.72,-0.660981792,-0.303826821,-0.755191387
201508,182075,2613831,1.14,-0.432459545,1.334418029,0.238041516
201509,182075,2613831,1.95,-0.212336131,1.79245644,0.369879691
201510,182075,2613831,3.6,0.027948119,3.701554053,-0.129502173
201511,182075,2613831,1.53,0.285342954,1.32574609,-0.081089045
201512,182075,2613831,4.25,0.54356863,3.847089949,-0.140658579
201601,182075,2613831,4.79,0.781847662,4.279706998,-0.27155466
201602,182075,2613831,1.52,0.972970825,0.038040583,0.508988592
201603,182075,2613831,0.73,1.170848593,-3.0352211,2.594372507
201604,182075,2613831,2.8,1.337933784,-5.254277602,6.716343818
201605,182075,2613831,-1.72,1.495923964,-5.925544398,2.709620435
201606,182075,2613831,-0.61,1.655390926,-2.118548199,-0.146842727
201607,182075,2613831,2.88,1.745630364,0.39682744,0.737542196
201608,182075,2613831,2.6,1.901877655,1.355997132,-0.657874788
201609,182075,2613831,4.08,2.102104242,2.601427132,-0.623531374
201610,182075,2613831,5.37,2.304613104,2.794184345,0.271202551
201611,182075,2613831,3.84,2.410582545,0.980127905,0.449289551
201612,182075,2613831,6.06,2.130969524,3.41782478,0.511205696
201701,182075,2613831,1.62,1.856721579,3.639480201,-3.87620178
201702,182075,2613831,-2.59,1.648084931,0.614913232,-4.852998163
201703,182075,2613831,-4.19,1.428254822,-2.704204337,-2.914050485
201704,182075,2613831,-4.33,1.126401761,-5.000079208,-0.456322553
201705,182075,2613831,-5.23,0.821812376,-5.990090269,-0.061722107
201706,182075,2613831,-2.16,0.813263075,-2.306902117,-0.666360958
201707,182075,2613831,2.8,0.758615628,1.04763828,0.993746092
201708,182075,2613831,2.85,0.598284062,1.369107743,0.882608195
201709,182075,2613831,3.96,0.477576428,3.395841356,0.086582217
201710,182075,2613831,-1.09,0.378846804,1.915371318,-3.384218121
201711,182075,2613831,-0.21,0.23517127,0.655208316,-1.100379586
201712,182075,2613831,2.59,0.031534972,3.033023361,-0.474558333
201801,182075,2613831,3.4,-0.160018551,2.964081878,0.595936673
201802,182075,2613831,0.68,-0.28516247,0.688349566,0.276812904
201803,182075,2613831,-2.75,-0.438040484,-2.28143299,-0.030526526
201804,182075,2613831,-4.6,-0.649133831,-4.67268985,0.721823681
201805,182075,2613831,-7.12,-0.843913811,-5.869345701,-0.406740488
201806,182075,2613831,-5.34,-1.019513718,-2.053940579,-2.266545704
201807,182075,2613831,-0.26,-1.142805988,1.292099061,-0.409293073
201808,182075,2613831,-0.61,-1.233280487,1.548653509,-0.925373022
201809,182075,2613831,3.33,-1.284737835,4.056559244,0.558178591
201810,182075,2613831,-0.63,-1.226666865,1.129094027,-0.532427162
201811,182075,2613831,0.19,-1.058209965,0.260567665,0.987642299
201812,182075,2613831,1.73,-0.827339235,2.853623801,-0.296284566
201901,182075,2613831,0.64,-0.52687804,2.413737277,-1.246859237
201902,182075,2613831,-4.08,-0.194811652,0.479189108,-4.364377456
201903,182075,2613831,-1.98,0.162287322,-2.336737515,0.194450193
201904,182075,2613831,-4.47,0.558434483,-3.960284089,-1.068150394
201905,182075,2613831,-3.71,1.006412348,-5.662801082,0.946388734
201906,182075,2613831,0.03,1.4031978,-1.543101084,0.169903283
201907,182075,2613831,2.99,1.625630728,1.218075736,0.146293536
201908,182075,2613831,4.52,1.720678615,1.547792315,1.251529069
201909,182075,2613831,6.71,1.712405358,4.316336764,0.681257878
201910,182075,2613831,2.38,1.594985383,0.500902666,0.28411195
201911,182075,2613831,0.93,1.406974145,0.063641276,-0.540615421
201912,182075,2613831,4.05,1.141690693,3.032013879,-0.123704572
202001,182075,2613831,2.99,0.820124808,1.81573635,0.354138842
202002,182075,2613831,0.67,0.504409531,0.218574142,-0.052983673
202003,182075,2613831,-2.28,0.207720689,-2.433822493,-0.053898196
202004,182075,2613831,-3.03,-0.093849732,-3.287553927,0.351403659
202005,182075,2613831,-6.18,-0.419184549,-5.455197946,-0.305617505
202006,182075,2613831,-1.76,-0.737380412,-1.005297632,-0.017321957
202007,182075,2613831,0.22,-0.976156686,1.14512402,0.051032666
202008,182075,2613831,0.11,-1.198003416,1.561960773,-0.253957357
202009,182075,2613831,2.48,-1.419733654,4.500154831,-0.600421177
202010,182075,2613831,-1.66,-1.638927332,-0.035090992,0.014018324
202011,182075,2613831,-1.8,-1.851923486,-0.15755544,0.209478926
202012,182075,2613831,1.48,-2.056440756,3.268214618,0.268226138
